ABRACL
EPSTI1
SERF2
PARVG
FANCB
CASS4
SEC61B
ERI1
SLX4
SFPQ
PHF5A
RPL9
MND1
OSCAR
PRPS1
UTF1
BCL2
DENND5B
EHD1
KATNA1
LSM3
SWAP70
RGS2
GORASP2
TNNI2
RPL30
LAPTM5
IL10
DNPH1
ATP6V1A
ORAI2
ADCY7
MTMR9
IGLV1-47
GPNMB
HMGB1
CLDND1
LY86
DCLRE1C
LILRB1
XBP1
ROGDI
VNN2
PSRC1
PGP
ERAL1
CLU
PGLS
CNTLN
RENBP
GZMB
CNR2
CFL1
LPCAT1
DDX27
PSMA1
CBX6
DAPP1
RPL7A
RCAN3
LBH
FANCG
CD79B
SLC38A10
GNPDA1
NCF1
CCDC102A
FAM72D
A1BG
TMEM70
CPSF6
ITGA4
TPK1
GLRX3
HSD17B14
TOX2
NUDT3
ZEB1
TMEM176B
NAA15
SEC22C
SCARF1
AEN
HAX1
ETV5
SLC1A3
GPX1
E2F5
PPCDC
DEF6
ATG12
TMEM243
N4BP3
CD37
IGKV3-15
SMYD3
MED26
OXNAD1
CNDP2
LYRM4
P2RX1
BMP6
AKAP13
MRPL37
CASP8
CUTALP
XPO1
RAB27B
CD22
IGHV1-24
DNMT1
MAP3K8
ATXN1
RRAGD
PDE4B
CD2
BARD1
IGLV2-11
ITM2B
ARMC1
RASGRP3
ZYX
ARHGAP17
PCSK7
LINC00539
RTCA
CSF1R
STAC
EMC6
LRR1
RASA3
PPP1R18
TPT1
ATP8B4
LYPLA2
POLD2
CKAP5
DCTN5
FCHSD2
FCER2
C9orf16
PLTP
CCL3
BUB1
PHF1
NUMB
MTMR14
PRCD
STARD3NL
PABPC4
SP110
PTK2B
IL10RB
FOS
TRIM39
EML6
CD5
LY75
CLIC2
VTI1A
NAGA
ACTR2
MEN1
SCAF11
KIF20B
SLC4A10
HEXIM1
S100B
HLA-DQA1
OXCT2
NIN
CLSPN
JUND
ZCCHC7
THOC6
DDX6
CCRL2
MEF2C-AS1
ARL6IP6
TSC22D4
SLC24A4
PI4K2B
TRIM59
TTK
ZEB2
IKBKG
CCL20
RFC5
TOP1
DOCK10
ATP6V1B2
CSTF1
CDCA8
CDC42SE2
CLEC4A
PID1
IL18
RAB20
NCAPG
RBL2
COTL1
TANK
PIM1
NUTF2
TMEM255A
AMZ2
PLBD2
SUCNR1
LAS1L
HBS1L
TMEM19
C1D
UBE2D1
TAF1B
IFI44
RMI1
PRKD3
RFWD3
NFKBIE
GSDME
TRAIP
SLC25A38
DNAJC9
PSTPIP1
UBA5
SLAMF8
RELT
FCGR1A
CCDC88C
MIXL1
ARPP19
ITGA1
CCNC
KHDC1
BCL6
ZNF138
C3AR1
ARRDC2
IL26
BUB3
SARAF
EXOSC9
SLC40A1
CEBPA
SETDB2
CEACAM21
BRCA1
RPL13
FAF1
RALGDS
LINC00243
RRAS2
SRRD
DAPK2
RAB8A
GPN1
WDHD1
MCEMP1
DENND1C
FAM20C
CYB5R1
CCDC50
C1orf56
METRNL
SLC17A9
LRCH4
RRP7A
CCAR1
UPF3B
NUP93
ALDH16A1
PLEKHM2
TGFBR3L
CHST15
TTLL7
HLA-DMA
TMEM170B
REV3L
OGG1
RILP
PSMB10
UBXN1
UPP1
ICAM1
INPP4A
HAT1
C9orf40
TIMM23
LYPLA1
C20orf194
LSM10
STARD5
FRG1
MAP2K1
SLCO3A1
PTPN4
WDR1
SKAP2
TBXAS1
LRRC25
NCL
SH2B3
ASF1B
RAD23B
CYBA
DPH7
HPSE
CEBPD
GCHFR
IGHG3
IGLV1-44
UPF2
TINF2
UBE2C
SDC3
CDT1
SYTL3
RAB4B
LEF1
MPEG1
HPRT1
CYP1B1
U2AF1
TTC1
RAPGEF2
PTDSS1
SLTM
HLA-DOA
MMP10
PA2G4
ANKRD39
TLR7
CSK
H2BC18
EIF2A
CYFIP1
RPLP1
OGFRL1
MPP6
WDFY2
NSD1
HJURP
PDE6D
TYMP
HNRNPK
C17orf75
RGS19
SKP2
ANKRD55
ACADM
MCM4
PEPD
ICAM4
RBX1
ADPRM
XRCC6
PCBD2
CLEC4E
HSPH1
SEC24A
NOSIP
BRMS1
INPP5D
LINC00954
RBBP8
UCP2
NFKBIZ
EIF3F
DUT
CENPF
AIF1
IL4R
IRF1
JMJD6
UNC119
RBL1
SCAF4
NAGPA
RPL38
SLC38A6
SPCS1
CD300LB
CISD2
SNN
RASSF2
TAF9
CKLF
PPOX
TTYH3
BRWD1
SASS6
RFC2
GART
CRLF3
ZWILCH
CD200R1
ZNF385A
ABCD1
OSBPL8
THEMIS2
PSMD4
FAU
DCK
MBD4
ZNF85
DUSP1
SLC38A9
PARN
STAMBPL1
H2BC5
DOCK11
HM13
SGPL1
MICAL1
IGHV4-39
ISG20
CETN3
TRBC2
TRIP13
NEK2
RPL34
LRMDA
MRPL4
GRK6
KLRC2
RPA1
DLEU2
HNRNPM
MCM5
OFD1
TIFA
TLR1
ASPM
SERPINF2
HOMER1
TBPL1
FRMD8
SYT11
TPD52
CD69
RAB8B
FYB1
PTGS2
EDEM2
BTG3
APTX
ANKRD44
UBE2R2
CD247
SRSF11
SEPTIN6
NCR3
TRAPPC1
EIF2S3
PRKD2
SEPTIN7
SH3TC1
GFI1
PPM1M
IGHV3-72
HPS1
CENPL
S1PR1
NARF
DHRS7
NSUN5
ITGB7
STRAP
ISG15
DENR
CD83
PREX1
PDGFC
DEGS1
HPS3
RPL36
TIFAB
NKG7
C9orf78
TERF2
RPS25
ARHGAP15
ATG4C
ZNF710
ENPP2
GGA2
HINT1
RHEX
LTA
SNRPA
MYL2
IL13RA1
CHAF1A
SRA1
GZMK
NOA1
SLC38A5
ARSA
CD47
CD48
AGA
TMEM131L
CD8A
CA11
LPCAT2
LRRK2
SUV39H1
IFIT2
HLA-DRB5
PYGL
WDR26
STAT1
MRPL10
CYTH4
SSR1
CIITA
ASH2L
EDEM1
CIT
COL4A4
TFRC
GPR132
KIF2A
POLE3
DCAF7
EOLA1
KMO
GABARAPL1
WDR77
S100Z
H2BC11
SUPT16H
CRADD
CHST2
PGAM2
SAMSN1
FCMR
ERO1B
OSBPL10-AS1
RPP30
AP1B1
IFI44L
ZBTB32
TIMP2
COA1
CDCA2
APOE
GADD45G
SECTM1
MCM3
KCTD12
MIF4GD
FTL
H2AX
SGPP1
IPO5
PLD4
ADAP2
IL23R
DDX11
APOL4
PLXND1
SEH1L
FOSL2
BLVRA
HNRNPA1L2
GTF3C6
FICD
FAM76B
NCAPD3
PNPLA6
TMED2
MBOAT7
COL19A1
PLEKHF2
NOP10
MEI1
LPXN
POLR1D
SEMA7A
CDC25A
HERC5
TMEM71
RAB35
RGS14
MRPS10
TNFRSF18
FASLG
GPR18
GAMT
A2M-AS1
RELB
CCDC167
FCHO1
COMMD7
RAD51C
CALM1
GGNBP2
KIF20A
SKAP1
GTSE1
DUSP26
CMA1
NRG1
TMSB10
SLC38A7
ATPAF2
LAPTM4A
GLA
FLI1
HMGN1
SSRP1
CARD16
PHLDA1
DR1
PIN1
SLC15A4
SH2D1B
UTS2
IDI1
GLUL
SH3BGRL3
TMEM51
VRK3
THAP2
ORC3
TMUB1
CD1D
SKA2
RNF166
RPS13
UBE2V2
RRM1
COMMD4
NRP2
LAT2
RASGRP1
CSF2RA
DAPK1
ING3
ST20
PLCB2
MTFR2
IL21R
EIF2AK4
TRNAU1AP
PSMA8
NUBP1
RNF19A
CASP10
BST2
NOP14
SLC11A1
MRPL15
JPT1
ZNF821
CPM
PTPRE
NUDT21
MRPL44
OAZ2
PNISR
PATL2
APOBEC3A
PBK
COL8A2
GRINA
TUBG1
SRGAP3
IMMT
ABHD14A
RBP7
DLGAP5
GPX4
FAM30A
TMEM258
NSMCE3
MMP9
NOTCH2
STAT5A
FAM72B
UNC93B1
EGR2
MPHOSPH9
KIF18A
PDCD2
MS4A2
CYP27A1
BAZ1A
ZC3HAV1
SAT1
CLEC9A
MAOB
SAMHD1
FIGNL1
OSTN-AS1
SLC7A7
MFSD1
MRPL49
PTRHD1
SAMD9L
PUF60
BID
PRKCQ
BHLHE40
SLC25A44
IRF2
BCL11B
TBCEL
FKBP15
ODF2L
SLA
IL5RA
RBM15
SH3BP1
CD1C
KLRC4
ALDH3B1
RPL22L1
C18orf21
STAG3
PTGS1
UBE2G1
ARL14EP
TUBB6
RORA
ARHGAP9
PPP6C
STAB1
TMEM37
VIM
NCOA4
ALOX15B
RPS28
STX7
IL2RG
NUP62
CYFIP2
METTL8
ZC3H7A
LILRB5
BIK
CXCL2
HES4
MTHFD2
INPP5F
FAM118A
AMDHD2
MAN2B1
PKIA
DERL3
GAL3ST4
ARAP1
PRPF38A
RANBP2
MRPL9
UBQLN1
MFNG
RNF167
PARP11
METTL22
SRP9
DTNBP1
SLC37A2
METTL4
ZBED5-AS1
ITGB2
DNASE1L3
SMARCB1
GCSAM
BYSL
MSL3
RPS4X
GMIP
PASK
IGHG2
TTC39C
LAMTOR2
HPS5
COX11
TTC14
GRHPR
RRP36
DHFR
SMS
NDUFAF6
RP2
CAMK1
CD27
SAMD9
MEF2A
LTA4H
PIK3R6
RIPK2
CPSF3
EIF2S1
HSPBAP1
CPNE3
SUPT4H1
SRGN
CYB5B
C1QC
PLK1
MAF
TYROBP
CBWD5
PLXNC1
SPCS2
UBE2F
IGLC2
SRPRB
HPGD
TPP1
TOMM5
BTF3
EIF1AY
TMIGD2
TIPIN
UBALD2
NDC1
ATAD5
LRRK1
VAMP5
PPP1R15A
MTA2
POLR3K
PPID
TRAC
MIR142
RPL41
TMEM233
SLC25A46
HAUS6
FCRL6
HENMT1
PHTF2
GBP1
PCDH9
DCTN3
C5AR1
RPL12
SEL1L
NABP1
RUNX3
TKT
SMC3
SH2D1A
EAF2
PFDN5
B3GAT3
HNRNPA0
CYTH1
MNDA
KNL1
GRWD1
RAD18
GNA13
NFAM1
DNAJC5B
ALDH1A1
IFI27L2
DNAAF1
SMG9
UTP18
CHST13
MAP4K1
GTPBP3
SMDT1
RPS27
B4GALT3
GABARAPL2
ELAVL4
GPN2
TCIRG1
ARFGAP3
SYNE3
SLC23A2
CALM3
UBL7-AS1
PARPBP
TBX21
CLNK
MAP2K6
CXCR6
RBM3
RPUSD1
NIP7
GIT2
LYAR
YIF1B
FCRLA
CNTRL
CDKN2AIPNL
QPCT
XKR6
PPIL1
RASGRP2
KCNK13
CD40LG
NFATC2IP
MCTP2
HLTF
VAC14
PER1
SYNCRIP
PSMC3
SUN2
SMAP2
RCCD1
M6PR
COL9A3
SMC4
CENPK
CCL5
COMMD3
SAR1B
TREM1
EXOSC3
B4GALT1
PIGX
ACAA1
CCNDBP1
PAOX
ATP6V0D2
IGHD
SNCA
AFF3
MARCO
TET2
CHTF18
CLEC10A
TVP23A
LIMS1
CHORDC1
NFKB1
NCOA3
CTSC
PDK1
PCLAF
TNFRSF1B
MRPL42
IFITM2
SGK1
G3BP2
ACTL6A
HGSNAT
NSMCE1
LAYN
TLR10
ARRB2
N4BP2
FAH
GCNT2
YPEL5
SLC36A4
PLIN2
SH3PXD2B
HMGXB4
AKIRIN2
SLAMF7
MB21D2
FMNL3
GNB4
TBC1D9
NELFCD
SFT2D2
SNX8
CEP128
RPS11
TEX14
PSMA7
TATDN3
IGLV2-23
NAB1
PRRC2C
CCL19
UBA52
